id,ccn,incident_date_time,time_spread,org_id,org_name,tipsoft_id,incident_type_id,incident_type_name,incident_type_pinnable,lng,lat,public_narrative,processing_level,address,description,agency_page_link
214875234,"13-2180438","2013-08-06T01:40:00Z",0,718,"Buffalo Police Department",0,103,"LARCENY/THEFT",true,-78.87688,42.902013,"Buffalo Police are investigating this report of a crime. It is important to note that this is very preliminary information and further investigation a...",3,"200 Block NORTH ST","LARCENY/THEFT",
214874893,"13-2180281","2013-08-06T10:45:13Z",0,718,"Buffalo Police Department",0,103,"LARCENY/THEFT",true,-78.873446,42.901967,"Buffalo Police are investigating this report of a crime. It is important to note that this is very preliminary information and further investigation a...",3,"600 Block DELAWARE AV","LARCENY/THEFT",
216839944,"13-2200330","2013-08-06T12:00:00Z",0,718,"Buffalo Police Department",0,99,"UUV",true,-78.86855,42.900333,"Buffalo Police are investigating this report of a crime. It is important to note that this is very preliminary information and further investigation a...",3,"WASHINGTON ST & HIGH ST","",
219565990,"13-2240299","2013-08-06T10:31:31Z",0,718,"Buffalo Police Department",0,103,"LARCENY/THEFT",true,-78.8518,42.902294,"Buffalo Police are investigating this report of a crime. It is important to note that this is very preliminary information and further investigation a...",3,"1 Block PERSHING AV","LARCENY/THEFT",
214875251,"13-2180927","2013-08-06T08:52:09Z",0,718,"Buffalo Police Department",0,103,"LARCENY/THEFT",true,-78.83689699999999,42.908584,"Buffalo Police are investigating this report of a crime. It is important to note that this is very preliminary information and further investigation a...",3,"1 Block FOUGERON ST","LARCENY/THEFT",
216839840,"13-2180991","2013-08-06T09:30:00Z",0,718,"Buffalo Police Department",0,103,"LARCENY/THEFT",true,-78.87662,42.917901,"Buffalo Police are investigating this report of a crime. It is important to note that this is very preliminary information and further investigation a...",3,"700 Block ELMWOOD AV","LARCENY/THEFT",
216839853,"13-2190248","2013-08-06T03:00:00Z",0,718,"Buffalo Police Department",0,99,"UUV",true,-78.855029,42.915046,"Buffalo Police are investigating this report of a crime. It is important to note that this is very preliminary information and further investigation a...",3,"200 Block E FERRY ST","",
214875231,"13-2180425","2013-08-06T01:20:00Z",0,718,"Buffalo Police Department",0,149,"ASSAULT",true,-78.845163,42.92127,"Buffalo Police are investigating this report of a crime. It is important to note that this is very preliminary information and further investigation a...",3,"1 Block DAISY PL","ASSAULT",
216839865,"13-2190362","2013-08-06T12:00:00Z",0,718,"Buffalo Police Department",0,103,"LARCENY/THEFT",true,-78.846148,42.92467,"Buffalo Police are investigating this report of a crime. It is important to note that this is very preliminary information and further investigation a...",3,"OAK GROVE AV & HUMBOLDT PW","LARCENY/THEFT",
214875232,"13-2180421","2013-08-06T12:00:00Z",0,718,"Buffalo Police Department",0,103,"LARCENY/THEFT",true,-78.836547,42.932429,"Buffalo Police are investigating this report of a crime. It is important to note that this is very preliminary information and further investigation a...",3,"200 Block LEROY AV","LARCENY/THEFT",
